iter	Passed	Remaining
0	1	100
1	1	85
2	2	78
3	2	71
4	3	71
5	4	70
6	5	68
7	5	67
8	6	66
9	7	65
10	8	65
11	8	64
12	9	63
13	10	62
14	10	61
15	11	61
16	12	60
17	13	60
18	13	59
19	14	58
20	15	58
21	16	57
22	16	56
23	17	55
24	18	54
25	18	53
26	19	53
27	20	53
28	21	52
29	21	51
30	22	50
31	23	49
32	24	49
33	24	48
34	25	47
35	26	47
36	27	46
37	28	45
38	28	44
39	29	43
40	29	43
41	30	41
42	30	41
43	31	40
44	32	39
45	33	38
46	33	37
47	34	37
48	35	36
49	35	35
50	36	34
51	37	34
52	37	33
53	38	32
54	39	32
55	39	31
56	40	30
57	41	29
58	41	29
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	71	0
